startTime:2021/1/19 9:16:31
toolVersion:1.0.7654.38979
PASS:77,FAIL:0,Total:77
Time:01:45:21
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,StartTime,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_1RB_Left:1@1,0,NR_HalfPiBPSK,NA,NA,1,18025,1@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:20:15,Maximum Output Power: Overall,22.88,19,26,dBm,PASS
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_1RB_Left:1@1,0,NR_HalfPiBPSK,NA,NA,1,18025,1@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:20:15,Maximum Output Power: Overall:LTE,19.03,N/A,N/A,dBm,PASS
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_1RB_Left:1@1,0,NR_HalfPiBPSK,NA,NA,1,18025,1@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:20:15,Maximum Output Power: Overall:NR,20.58,N/A,N/A,dBm,PASS
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,1,18025,8@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:21:47,Maximum Output Power: Overall,22.99,19,26,dBm,PASS
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,1,18025,8@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:21:47,Maximum Output Power: Overall:LTE,19.12,N/A,N/A,dBm,PASS
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,1,18025,8@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:21:47,Maximum Output Power: Overall:NR,20.69,N/A,N/A,dBm,PASS
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,1,18025,1@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:23:5,Maximum Output Power: Overall,22.91,19,26,dBm,PASS
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,1,18025,1@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:23:5,Maximum Output Power: Overall:LTE,19.05,N/A,N/A,dBm,PASS
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,1,18025,1@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:23:5,Maximum Output Power: Overall:NR,20.61,N/A,N/A,dBm,PASS
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,2,NR_QPSK,NA,NA,1,18025,8@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:24:27,Maximum Output Power: Overall,22.96,19,26,dBm,PASS
NR,n78,620334,-49.2,,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,2,NR_QPSK,NA,NA,1,18025,8@0,LTE_5MHZ,LTE_QPSK,NR_6_2B_1_3_UE_Maximum_Output_Power_for_Inter_Band_EN_DC_within_FR1,2021-1-19 9:24:27,Maximum Output Power: Overall:LTE,19.14,N/A,N/A,dBm,PASS
