startTime:2020/12/14 8:54:21
toolVersion:1.0.7611.31201
PASS:28,FAIL:0,Total:252
Time:00:11:36
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,384500,-60,22.97,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,22.97,20.3,25.7,dBm,PASS
NR,n1,384500,-60,22.97,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.91;1.34,0,17.5,%,PASS
NR,n1,384500,-60,21.94,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,21.94,19.8,25.7,dBm,PASS
NR,n1,384500,-60,21.94,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.38;0.99,0,17.5,%,PASS
NR,n1,384500,-60,21.95,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,21.95,20.3,25.7,dBm,PASS
NR,n1,384500,-60,21.95,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.86;1.23,0,12.5,%,PASS
NR,n1,384500,-60,20.92,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,20.92,19.3,25.7,dBm,PASS
NR,n1,384500,-60,20.92,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.50;1.31,0,12.5,%,PASS
NR,n1,384500,-60,20.44,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,20.44,18.3,25.7,dBm,PASS
NR,n1,384500,-60,20.44,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.54;1.18,0,8,%,PASS
NR,n1,384500,-60,18.53,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,18.53,17.3,25.7,dBm,PASS
NR,n1,384500,-60,18.53,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.19;0.93,0,3.5,%,PASS
NR,n1,384500,-60,21.47,CP,NR_5MHZ,SCS15,CP_Inner_Full:13@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,21.47,17.3,25.7,dBm,PASS
NR,n1,384500,-60,21.47,CP,NR_5MHZ,SCS15,CP_Inner_Full:13@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,3.21;3.20,0,17.5,%,PASS
NR,n1,384500,-60,20.08,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,20.08,13.8,25.7,dBm,PASS
NR,n1,384500,-60,20.08,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,2.23;2.32,0,17.5,%,PASS
NR,n1,384500,-60,20.92,CP,NR_5MHZ,SCS15,CP_Inner_Full:13@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,20.92,18.8,25.7,dBm,PASS
NR,n1,384500,-60,20.92,CP,NR_5MHZ,SCS15,CP_Inner_Full:13@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,2.90;2.89,0,12.5,%,PASS
NR,n1,384500,-60,19.97,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,19.97,16.8,25.7,dBm,PASS
