startTime:2020/12/14 11:00:09
toolVersion:1.0.7611.31201
PASS:28,FAIL:0,Total:84
Time:00:05:50
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,386000,-60,22.90,DFT,NR_20MHZ,SCS15,DFT_Inner_Full:50@25,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,22.90,20.3,25.7,dBm,PASS
NR,n1,386000,-60,22.90,DFT,NR_20MHZ,SCS15,DFT_Inner_Full:50@25,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.92;1.21,0,17.5,%,PASS
NR,n1,386000,-60,21.98,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,21.98,19.8,25.7,dBm,PASS
NR,n1,386000,-60,21.98,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.40;1.07,0,17.5,%,PASS
NR,n1,386000,-60,21.84,DFT,NR_20MHZ,SCS15,DFT_Inner_Full:50@25,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,21.84,20.3,25.7,dBm,PASS
NR,n1,386000,-60,21.84,DFT,NR_20MHZ,SCS15,DFT_Inner_Full:50@25,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,2.01;1.74,0,12.5,%,PASS
NR,n1,386000,-60,20.81,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,20.81,19.3,25.7,dBm,PASS
NR,n1,386000,-60,20.81,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.53;1.53,0,12.5,%,PASS
NR,n1,386000,-60,20.35,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,20.35,18.3,25.7,dBm,PASS
NR,n1,386000,-60,20.35,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.55;1.27,0,8,%,PASS
