startTime:2021/1/8 13:37:46
toolVersion:1.0.7654.38979
PASS:25,FAIL:2,Total:168
Time:00:06:18
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,StartTime,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n78,620334,-60,23.89,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:4,Uplink Power:MaxPower,23.89,21.8,29,dBm,PASS
NR,n78,620334,-60,23.89,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:4,Error Vector Magnitude:MaxPower,3.45;3.63,0,30,%,PASS
NR,n78,620334,-60,22.86,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:11,Uplink Power:MaxPower,22.86,20.8,29,dBm,PASS
NR,n78,620334,-60,22.86,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:11,Error Vector Magnitude:MaxPower,4.01;4.09,0,30,%,PASS
NR,n78,620334,-60,23.83,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:18,Uplink Power:MaxPower,23.83,19,26,dBm,PASS
NR,n78,620334,-60,23.83,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:18,Error Vector Magnitude:MaxPower,3.95;3.84,0,17.5,%,PASS
NR,n78,620334,-60,22.80,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:24,Uplink Power:MaxPower,22.80,18,26,dBm,PASS
NR,n78,620334,-60,22.80,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:24,Error Vector Magnitude:MaxPower,3.82;3.63,0,17.5,%,PASS
NR,n78,620334,-60,22.71,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:30,Uplink Power:MaxPower,22.71,18,26,dBm,PASS
NR,n78,620334,-60,22.71,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:30,Error Vector Magnitude:MaxPower,4.05;4.15,0,12.5,%,PASS
NR,n78,620334,-60,21.69,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:37,Uplink Power:MaxPower,21.69,17,26,dBm,PASS
NR,n78,620334,-60,21.69,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:37,Error Vector Magnitude:MaxPower,5.11;3.65,0,12.5,%,PASS
NR,n78,620334,-60,21.28,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:43,Uplink Power:MaxPower,21.28,16.5,26,dBm,PASS
NR,n78,620334,-60,21.28,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,2021-1-8 13:39:43,Error Vector Magnitude:MaxPower,4.16;3.92,0,8,%,PASS
