startTime:2020/12/23 8:57:29
toolVersion:1.0.7611.31201
PASS:18,FAIL:0,Total:108
Time:00:08:43
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,384500,-60,21.68,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN1,11.36,99,0,dB,PASS
NR,n1,384500,-60,21.68,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN2,33.37,99,0,dB,PASS
NR,n1,384500,-60,21.68,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN3,38.18,99,0,dB,PASS
NR,n1,384500,-60,21.68,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN4,26.17,99,0,dB,PASS
NR,n1,384500,-60,22.14,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN1,16.24,99,0,dB,PASS
NR,n1,384500,-60,22.14,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN2,15.07,99,0,dB,PASS
NR,n1,384500,-60,22.14,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN3,29.13,99,0,dB,PASS
NR,n1,384500,-60,22.14,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN4,17.47,99,0,dB,PASS
NR,n1,384500,-60,21.73,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN1,9.52,99,0,dB,PASS
NR,n1,384500,-60,21.73,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN2,33.29,99,0,dB,PASS
