startTime:2020/12/25 15:34:15
toolVersion:1.0.7654.38979
PASS:104,FAIL:0,Total:104
Time:00:11:32
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,StartTime,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,384500,-60,22.13,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:22,NR_ACLR_L,49.18,30,99,dB,PASS
NR,n1,384500,-60,22.13,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:22,NR_ACLR_R,52.04,30,99,dB,PASS
NR,n1,384500,-60,22.13,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:22,NR_ACLR_UTRA1_L,52.48,32.2,99,dB,PASS
NR,n1,384500,-60,22.13,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:22,NR_ACLR_UTRA1_R,55.48,32.2,99,dB,PASS
NR,n1,384500,-60,22.13,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:22,NR_ACLR_UTRA2_L,64.21,35.2,99,dB,PASS
NR,n1,384500,-60,22.13,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:22,NR_ACLR_UTRA2_R,64.23,35.2,99,dB,PASS
NR,n1,384500,-60,20.81,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:27,NR_ACLR_L,54.91,30,99,dB,PASS
NR,n1,384500,-60,20.81,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:27,NR_ACLR_R,59.15,30,99,dB,PASS
NR,n1,384500,-60,20.81,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:27,NR_ACLR_UTRA1_L,57.50,32.2,99,dB,PASS
NR,n1,384500,-60,20.81,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:27,NR_ACLR_UTRA1_R,59.99,32.2,99,dB,PASS
NR,n1,384500,-60,20.81,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:27,NR_ACLR_UTRA2_L,62.78,35.2,99,dB,PASS
NR,n1,384500,-60,20.81,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:27,NR_ACLR_UTRA2_R,63.18,35.2,99,dB,PASS
NR,n1,384500,-60,21.19,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:30,NR_ACLR_L,40.90,30,99,dB,PASS
NR,n1,384500,-60,21.19,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:30,NR_ACLR_R,42.26,30,99,dB,PASS
NR,n1,384500,-60,21.19,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:30,NR_ACLR_UTRA1_L,41.73,32.2,99,dB,PASS
NR,n1,384500,-60,21.19,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:30,NR_ACLR_UTRA1_R,43.21,32.2,99,dB,PASS
NR,n1,384500,-60,21.19,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:30,NR_ACLR_UTRA2_L,59.23,35.2,99,dB,PASS
NR,n1,384500,-60,21.19,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:30,NR_ACLR_UTRA2_R,61.27,35.2,99,dB,PASS
NR,n1,384500,-60,22.28,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_4_Adjacent_channel_leakage_ratio,2020-12-25 15:35:34,NR_ACLR_L,48.79,30,99,dB,PASS
